time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-06T13:34:26.452Z,35.26684952,-97.8944931,0.2293986529,2.73,ml,68,33.37504578,0.1021469906,0.8675254396,ok,ok2020couz,2020-02-07T18:00:14.188Z,"6km W of Tuttle, Oklahoma",earthquake,1.481519097,1.181346925,,52,automatic,ok,ok
2020-02-07T08:50:24.400Z,17.836,-66.8686,9,2.73,md,11,239,0.1395,0.07,pr,pr2020038010,2020-02-08T07:41:02.040Z,"21km S of Guanica, Puerto Rico",earthquake,0.42,0.46,0.47,8,reviewed,pr,pr
2020-02-08T20:57:40.035Z,35.27939987,-97.88409424,0.9947325587,2.73,ml,56,50.7979126,0.1080849618,0.7896170846,ok,ok2020ctap,2020-02-08T23:55:11.040Z,"6km WSW of Tuttle, Oklahoma",earthquake,1.585855309,1.187358444,,42,automatic,ok,ok
2020-02-02T15:13:19.490Z,17.7985,-66.8723,6,2.74,md,12,248,0.1767,0.18,pr,pr2020033056,2020-02-03T04:01:30.763Z,"19km S of Guanica, Puerto Rico",earthquake,0.75,0.51,0.44,10,reviewed,pr,pr
2020-02-02T16:02:41.210Z,17.9253,-66.924,5,2.74,md,11,220,0.067,0.15,pr,pr2020033058,2020-02-05T20:21:30.040Z,"6km S of Guanica, Puerto Rico",earthquake,0.66,0.32,0.39,9,reviewed,pr,pr
2020-02-04T10:56:02.210Z,18.0255,-66.7571,11,2.74,md,11,164,0.1321,0.13,pr,pr2020035021,2020-02-04T18:58:28.548Z,"1km NE of Magas Arriba, Puerto Rico",earthquake,0.58,0.57,0.18,6,reviewed,pr,pr
2020-02-02T15:00:24.860Z,18.6483,-67.6875,10,2.75,md,11,182,0.3362,0.36,pr,pr2020033052,2020-02-03T03:13:18.451Z,"57km NW of Rincon, Puerto Rico",earthquake,1.68,31.61,0.17,4,reviewed,pr,pr
2020-02-04T00:24:33.690Z,19.0173,-68.3898,10,2.75,md,14,176,0.8436,1.02,pr,pr2020035001,2020-02-04T07:09:54.104Z,"32km NNE of Punta Cana, Dominican Republic",earthquake,4.46,31.61,0.36,8,reviewed,pr,pr
2020-02-04T19:39:13.450Z,17.958,-66.7278,5,2.75,ml,11,200,0.1482,0.23,pr,pr2020035044,2020-02-06T20:18:14.040Z,"6km S of Tallaboa, Puerto Rico",earthquake,0.9,0.56,0,0,reviewed,pr,pr
2020-02-05T12:13:57.030Z,17.8835,-66.8366,11,2.75,md,10,242,0.101,0.09,pr,pr2020036028,2020-02-05T13:58:26.724Z,"11km SSE of Maria Antonia, Puerto Rico",earthquake,0.73,0.53,0.08,3,reviewed,pr,pr
2020-02-05T19:15:27.280Z,17.8273,-66.8356,8,2.75,md,11,239,0.1541,0.08,pr,pr2020036044,2020-02-06T14:22:16.040Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.48,0.56,0.35,7,reviewed,pr,pr
2020-02-03T21:42:11.150Z,17.9153,-66.8066,10,2.76,md,11,216,0.0941,0.23,pr,pr2020034035,2020-02-04T05:44:43.949Z,"8km S of Indios, Puerto Rico",earthquake,1.06,0.76,0.3,7,reviewed,pr,pr
2020-02-04T15:39:46.960Z,17.8516,-66.8665,11,2.76,md,10,252,0.1241,0.15,pr,pr2020035033,2020-02-04T23:42:14.093Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.7,0.79,0.13,6,reviewed,pr,pr
2020-02-05T12:33:04.820Z,18.8028,-64.8848,54,2.76,ml,8,333,1.1687,0.49,pr,pr2020036027,2020-02-05T20:35:34.944Z,"60km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,6.84,16.94,0,0,reviewed,pr,pr
2020-02-07T19:16:43.130Z,35.114,-95.3965,5,2.76,ml,39,142,0.857531723,0.24,ok,ok2020crbt,2020-02-08T16:41:15.040Z,"2km WSW of Quinton, Oklahoma",earthquake,,2.4,0.25,7,reviewed,ok,ok
2020-02-04T22:45:10.050Z,17.837,-66.8918,7,2.77,md,9,242,0.1387,0.18,pr,pr2020035049,2020-02-04T22:58:32.472Z,"14km S of Guanica, Puerto Rico",earthquake,0.89,0.39,0.26,5,reviewed,pr,pr
2020-02-07T05:20:46.960Z,17.83,-66.8956,2,2.77,md,12,243,0.146,0.21,pr,pr2020038003,2020-02-07T13:23:21.897Z,"15km S of Guanica, Puerto Rico",earthquake,0.74,0.58,0.38,9,reviewed,pr,pr
2020-02-03T22:55:21.590Z,17.9328,-66.9098,12,2.78,md,10,216,0.0522,0.14,pr,pr2020034039,2020-02-03T23:28:26.249Z,"4km S of Guanica, Puerto Rico",earthquake,0.78,0.35,0.12,6,reviewed,pr,pr
2020-02-04T05:35:46.600Z,36.1051667,-89.4156667,11.74,2.78,md,57,52,0.03478,0.11,nm,nm60301761,2020-02-07T01:52:55.324Z,"9km NNW of Dyersburg, Tennessee",earthquake,0.15,0.25,0.063,46,reviewed,nm,nm
2020-02-04T18:23:20.820Z,17.8225,-66.8746,7,2.78,md,12,243,0.1527,0.15,pr,pr2020035043,2020-02-06T18:34:47.040Z,"21km SSE of Guanica, Puerto Rico",earthquake,0.64,0.42,0.4,8,reviewed,pr,pr
2020-02-08T10:11:26.830Z,35.9608333,-117.367,0.11,2.78,ml,30,52,0.09734,0.15,ci,ci39296232,2020-02-08T10:55:20.040Z,"22km N of Searles Valley, CA",earthquake,0.24,31.61,0.108,25,automatic,ci,ci
2020-02-02T07:55:54.740Z,17.9825,-66.8586,11,2.79,md,12,171,0.0219,0.17,pr,pr2020033030,2020-02-02T19:25:45.708Z,"2km ESE of Maria Antonia, Puerto Rico",earthquake,0.81,0.5,0.34,8,reviewed,pr,pr
2020-02-06T05:08:02.540Z,17.8266,-66.896,7,2.79,md,12,244,0.1494,0.09,pr,pr2020037004,2020-02-06T06:10:15.385Z,"16km S of Guanica, Puerto Rico",earthquake,0.61,1.05,0.32,6,reviewed,pr,pr
2020-02-07T00:53:18.500Z,40.3494987,-124.2611694,28.91,2.79,md,20,110,0.03269,0.13,nc,nc73336646,2020-02-07T02:17:03.044Z,"3km NE of Petrolia, CA",earthquake,1.34,1.61,0.17,20,automatic,nc,nc
2020-02-04T00:41:31.451Z,60.3606,-138.239,10,2.8,ml,,84,0.59,0.76,us,us60007p1g,2020-02-04T03:08:11.462Z,"59km SW of Haines Junction, Canada",earthquake,1.7,2,0.046,61,reviewed,us,us
2020-02-04T19:35:20.462Z,66.4335,-156.9914,0,2.8,ml,,,,0.63,ak,ak0201m7bz61,2020-02-06T20:03:25.040Z,"74km S of Kobuk, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-02-05T05:52:23.410Z,17.8206,-66.8673,7,2.8,md,12,243,0.155,0.16,pr,pr2020036014,2020-02-05T06:43:54.874Z,"17km SSE of Guanica, Puerto Rico",earthquake,0.73,0.44,0.31,8,reviewed,pr,pr
2020-02-05T21:11:59.381Z,66.3906,-157.3431,35,2.8,ml,,,,0.68,ak,ak0201nvx2p3,2020-02-05T22:20:51.040Z,"71km SSW of Kobuk, Alaska",earthquake,,3.9,,,automatic,ak,ak
2020-02-05T23:13:25.454Z,17.8165,-66.8635,10,2.8,ml,,217,0.228,0.53,us,us70007jjk,2020-02-06T07:16:20.397Z,"17km SSE of Guanica, Puerto Rico",earthquake,1.3,2,0.065,31,reviewed,us,us
2020-02-06T16:19:10.035Z,37.8143,-115.1477,10.2,2.8,ml,15,108.07,0.415,0.0875,nn,nn00716641,2020-02-07T15:45:54.040Z,"54km N of Alamo, Nevada",earthquake,,2.1,0.22,9,reviewed,nn,nn
2020-02-06T18:32:46.610Z,17.9938,-67.0075,9,2.8,ml,11,180,0.1029,0.22,pr,pr2020037027,2020-02-07T02:35:24.672Z,"4km ENE of La Parguera, Puerto Rico",earthquake,0.53,0.94,0.06,4,reviewed,pr,pr
2020-02-06T22:41:49.352Z,17.9182,-66.8581,10,2.8,ml,,203,0.127,0.51,us,us70007ki4,2020-02-06T23:31:13.040Z,"7km SE of Guanica, Puerto Rico",earthquake,1.8,1.9,0.063,33,reviewed,us,us
2020-02-07T01:18:16.262Z,18.9961,-67.7989,10,2.8,ml,,326,0.837,0.47,us,us70007kkt,2020-02-07T01:47:08.903Z,"78km NE of Punta Cana, Dominican Republic",earthquake,5,1.9,0.073,25,reviewed,us,us
2020-02-07T01:20:59.708Z,19.0956,-67.6351,10,2.8,ml,,323,0.797,0.54,us,us70007kkw,2020-02-07T01:43:57.040Z,"87km NW of San Antonio, Puerto Rico",earthquake,6.3,2,0.065,31,reviewed,us,us
2020-02-07T05:17:23.313Z,46.8354,-112.7791,8.94,2.8,ml,,38,0.146,0.79,us,us70007kvh,2020-02-08T07:28:52.549Z,"15km SSW of Lincoln, Montana",earthquake,3.2,8.1,0.059,38,reviewed,us,us
